0,source,label,type
People falling for the English hype and covering up of the fact that Harry Maguire won France that Game,youtube,,international
"<a href=""https://www.youtube.com/watch?v=Q-zmXSb0WKU&amp;t=0m08s"">0:08</a>",youtube,,international
AGAN CUN JUEGO CON EA SPORTS PORFAVOR,youtube,,international
🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧❤❤❤❤,youtube,,international
That Mbappe Reaction😂😂,youtube,,international
bored match,youtube,,international
Griezman what a player...in deed a football legend,youtube,,international
Most expensive team in the world 😂😂😂😂,youtube,,international
2026 World Cup final preview,youtube,,international
Mbappe 😂😂😂😂,youtube,,international
Bro that Pakistan flag has always been their with France,youtube,,international
Parry Pane always doing his best to stay trophyless 😎,youtube,,international
So happy England is out again,youtube,,international
"Once loser, always be loser, definitely England . . .",youtube,,international
Mbappe laugh in the end. 😂😂,youtube,,international
Maguire&#39;s face 🤣,youtube,,international
Aurelien Tchouameni,youtube,,international
Tchoumeni is easily one of best midfielders today,youtube,,international
My goat maguire,youtube,,international
"<a href=""https://www.youtube.com/watch?v=Q-zmXSb0WKU&amp;t=1m52s"">1:52</a> mbappe 😆😆😆",youtube,,international
kane cursed two wc to england once with croatia and then with france,youtube,,international
Africa vs africa,youtube,,international
"keep in mind, if england won, argentina might have lost the world cup",youtube,,international
"<a href=""https://www.youtube.com/watch?v=Q-zmXSb0WKU&amp;t=1m45s"">1:45</a> POV: you&#39;re watching Ramos on &quot;that&quot; semi final against Bayern Munich",youtube,,international
"🇨🇵 vs 🏴󠁧󠁢󠁥󠁮󠁧󠁿 11/12/2022 রাত <a href=""https://www.youtube.com/watch?v=Q-zmXSb0WKU&amp;t=1m00s"">1:00</a> টা<br> One year ago today 💔😓<br>এক বছর হয়ে গেল আজকে,, <br>হাই ভোল্টেজ ম্যাচটা মিস করলাম 😓😥",youtube,,international
tell me you feel bad for kane without telling me u feel bad,youtube,,international
Brazil got 6th above england,youtube,,international
"Tak semestinya enggland kalah dipertandingan ini, seharusnya menang &amp; final sama argentina trus juara dunia",youtube,,international
"RESUMEN DEL PARTIDO<br><br><a href=""https://www.youtube.com/watch?v=Q-zmXSb0WKU&amp;t=00m05s"">00:05</a> Mejor gol de tchuameni en Francia!!!!! 1-0<br><a href=""https://www.youtube.com/watch?v=Q-zmXSb0WKU&amp;t=0m31s"">0:31</a> TIRO CLASICO de Bellimghan<br><a href=""https://www.youtube.com/watch?v=Q-zmXSb0WKU&amp;t=0m50s"">0:50</a> Gol de Harry kane 1-1<br><a href=""https://www.youtube.com/watch?v=Q-zmXSb0WKU&amp;t=1m02s"">1:02</a> MODO MAGUIRE Activado<br><a href=""https://www.youtube.com/watch?v=Q-zmXSb0WKU&amp;t=1m18s"">1:18</a> Gol de GIROUD 2-1<br><a href=""https://www.youtube.com/watch?v=Q-zmXSb0WKU&amp;t=1m43s"">1:43</a> FALLO De Harry kane y RISA INSOLITA de MBAPPE<br><a href=""https://www.youtube.com/watch?v=Q-zmXSb0WKU&amp;t=1m55s"">1:55</a> CELEBRACION DE FRANCIA",youtube,,international
"<a href=""https://www.youtube.com/watch?v=Q-zmXSb0WKU&amp;t=01m03s"">01:03</a> Maguire&#39;s!!!!!!",youtube,,international
England was better...... im from Argentina,youtube,,international
oliver girouds face is so funny when france scored the first goal,youtube,,international
Southgate out,youtube,,international
"It doesn&#39;t change the fact that harry Maguire contribution to Giraud goal ,, yet another goal contribution from G.O.A.T",youtube,,international
Mais dans ce match l&#39;Angleterre avait plus des armes offensives,youtube,,international
Its own goal of mcguire not a goal of Giroud,youtube,,international
"Kanes controller disconnected at <a href=""https://www.youtube.com/watch?v=Q-zmXSb0WKU&amp;t=1m47s"">1:47</a>",youtube,,international
Mbappe😂😂😂😂,youtube,,international
"Giroud big miss but then scoring, Kane penalty goal then a penalty miss, Maguire header miss and then an own goal in a way",youtube,,international
Tchouameni is just the son of Pogba ❤🔥🔥🔥🔥🔥,youtube,,international
2022 world cup final standings<br>1. Argentina<br>2. France<br>3. Croatia<br>4. Morocco<br>5. Holland<br>6. England<br>7. Brazil<br>8. Portugal<br>9. Japan<br>10. Senegal<br>11. Australia<br>12. Switzerland<br>13. Spain<br>14. USA<br>15. Poland<br>16. South Korea<br>17. Germany<br>18. Ecuador<br>19. Cameroon<br>20. Uruguay<br>21. Tunisia<br>22. Mexico<br>23. Belgium<br>24. Ghana<br>25. Saudi Arabia<br>26. Iran<br>27. Costa Rica<br>28. Denmark<br>29. Serbia<br>30. Wales<br>31. Canada<br>32. Qatar,youtube,,international
France 🇨🇵 mostly beat England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 when they meet,youtube,,international
Who is here after England also got knocked out from the Cricket WC? 😢😢😢,youtube,,international
Who is here after England also got knocked out from the cricket WC 😢😢😢,youtube,,international
Who just came to the game to see mbapes reaction 😂😂😂😂😂,youtube,,international
"By the end of the 2030 World Cup England will have gotten to one more final in Euro&#39;s or World Cup&#39;s and lost again, that is my 7 year prediction!",youtube,,international
"Ah England very much the nearly men, I hope one day we can clutch up when it matters and win a World cup, I will revisit this comment on that day if we ever do 👍",youtube,,international
Mbappé is a kid,youtube,,international
2022 world cup final standings<br>1. Argentina<br>2. France<br>3. Croatia<br>4. Morocco<br>5. Holland<br>6. England<br>7. Brazil<br>8. Portugal<br>9. Japan<br>10. Senegal<br>11. Australia<br>12. Switzerland<br>13. Spain<br>14. USA<br>15. Poland<br>16. South Korea<br>17. Germany<br>18. Ecuador<br>19. Cameroon<br>20. Uruguay<br>21. Tunisia<br>22. Mexico<br>23. Belgium<br>24. Ghana<br>25. Saudi Arabia<br>26. Iran<br>27. Costa Rica<br>28. Denmark<br>29. Serbia<br>30. Wales<br>31. Canada<br>32. Qatar,youtube,,international
Africa won the 2018 world cup. And not France😂 period,youtube,,international
L england😂,youtube,,international
Mbappe with Kane - 🙂👍😯😔<br>Mbappe with messi-🥶☠️😡😡😭,youtube,,international
A blind man could see France were outplayed. Saka was fouled on the buildup to Frances first goal and the ref punished England but let france play rugby for most of the game.,youtube,,international
Why every time England lose they say the other team cheated? 🤣,youtube,,international
"Harry, 😂",youtube,,international
“OLIVIER GIROUD” 😄😄😄😄😄😄😄,youtube,,international
HAHAHAHAHHAHA england.....HAHAHAHAHAHAHA,youtube,,international
Belle équipe anglaise. J&#39;aurais préféré qu&#39;ils jouent le quart contre l&#39;Argentine (ils les auraient battu à ce stade de la compétition) et qu&#39;on joue la finale contre eux. J&#39;aurais été moins déçu de perdre en finale contre l&#39;Angleterre qui joue loyal.,youtube,,international
Giroud mirip lion,youtube,,international
Yg menang mirip england tree lion giroud tcoumeni,youtube,,international
England attack,youtube,,international
Rigged,youtube,,international
who is comentary?,youtube,,international
Imagine this World Cup is almost 1 year ago,youtube,,international
Griezmann 🔥🔥,youtube,,international
Girouds header deflected by maguire. Technically it is an own goal,youtube,,international
Always get a warm fuzzy feeling watching England lose,youtube,,international
That Harry Maguire is a different kind of beast when he plays for England,youtube,,international
Anyone noticed it took a deflection of Maguire - girouds goal,youtube,,international
If u for Mbappe reaction 😂 like,youtube,,international
"Poor Hary Kane,Can&#39;t Hardly Wait For EURO 2024 Next Year ❤⚽️🇨🇵",youtube,,international
W mbappe,youtube,,international
Maguire again,youtube,,international
Nobody:<br>Mbappe: 😆,youtube,,international
"They will again make it to Final next time their squad and playing combination is unmatchable, they never give up 🫡",youtube,,international
❤❤❤❤❤,youtube,,international
Kane is the real &quot;pecho frio&quot;,youtube,,international
Maguire heads it in,youtube,,international
"Si l&#39;angleterre n&#39;a rien gagné avec sa génération doré (Beckham, Owen, Gerrard, Lampard, Rooney) ils ne gagneront plus jamais rien",youtube,,international
Came here to see that mbappe laugh😂😂😂,youtube,,international
In order to hit harder Kane miss his target,youtube,,international
Biggest robbery,youtube,,international
england lose 😭😭 france win 🥳🥳🥳,youtube,,international
france is a great team as as england,youtube,,international
Harry Kane 😢😢😢,youtube,,international
"<a href=""https://www.youtube.com/watch?v=Q-zmXSb0WKU&amp;t=1m52s"">1:52</a> MBappe Be like:<br>🤣🤣🤣🤣",youtube,,international
The ref was biased,youtube,,international
女の子の腕がおかしくなってるよ<br><br>R同士で核戦争な<br><br>オーストラリアで観戦しとくわ<br><br>南米はアフリカのような黒人に戻しとく<br><br>イエス・キリスト,youtube,,international
"<a href=""https://www.youtube.com/watch?v=Q-zmXSb0WKU&amp;t=1m52s"">1:52</a><br>Origin of the meme.",youtube,,international
pain goes to this annpying commentator,youtube,,international
Pressure got the better of Kane that&#39;s why he sent it to sky,youtube,,international
"<a href=""https://www.youtube.com/watch?v=Q-zmXSb0WKU&amp;t=1m58s"">1:58</a> Mbappe 😂😂",youtube,,international
harry maguire strikes again haha,youtube,,international
"<a href=""https://www.youtube.com/watch?v=Q-zmXSb0WKU&amp;t=1m25s"">1:25</a> &quot;mAgUiRe HaS nEvEr LeT eNgLaNd DoWn&quot;",youtube,,international
If you didn&#39;t notice Maquire did get another auto goal,youtube,,international
The ref was the French side. No doubt.,youtube,,international
England is really a choker.They cant score by penalties.,youtube,,international
Why did he say England won,youtube,,international
"<a href=""https://www.youtube.com/watch?v=Q-zmXSb0WKU&amp;t=1m28s"">1:28</a> u can see the ball touched maguire&#39;s elbow and if it hadn&#39;t then the gk would have saved it probably",youtube,,international
"<a href=""https://www.youtube.com/watch?v=gi_2GELMwfY&amp;t=0m39s"">0:39</a> should have squared it to Sterling 🙄 we simply don’t do it when it matters",youtube,,international
Croatia&#39;s best away kit ever.,youtube,,international
legendary game🔥,youtube,,international
Any team into the final is always the best!!!!,youtube,,international
"The Commentary of Peter Drury is simply class apart! The excitement, the Zeal, the spontaneity and above all the clear pronunciation is something unmatched, unparalleled and irreplaceable.",youtube,,international
"One of the finest match of 2018 world cup! England played well, but were pretty unlucky not to win the match!",youtube,,international
Still havnt forgive can for both world cups,youtube,,international
England doing England things losing,youtube,,international
Best match of this world cup tbh,youtube,,international
"Imagine being 12 year old boy, living in a small country and obsessed with football and watching your country going to final on a World cup. And it was so dramatical, every game. I was having 7 heart attacks per game. But it was best summer ever, it was so unbelievable. The whole country was on fire. You couldn&#39;t see anyone on the street that&#39;s not in croatia jersey, even the tourists. I remember mandzukic&#39;s goal like it was yesterday and it is probably the best moment of my childhood. I jumped and run out of house screaming. My brother broke the vase, my mom who don&#39;t really like football cried because of joy and stress and relief, and I have never seen my dad that crazy. I will never forget it",youtube,,international
I met my current boyfriend shortly before the match. Funny enough he&#39;s from England haha. Still love me even after the match XD,youtube,,international
E NEKA SMO IH VALA PA TAMAN SE SVE ZĐŽOMBOSALO👏👏👏👏👏👏👏,youtube,,international
Wish I could rewatch the whole game somewhere,youtube,,international
32M View in 5 years ! Gg👏👏👏👏,youtube,,international
"here after some messi videos, came to pay respect to the great luka modric",youtube,,international
Perisic was such a force,youtube,,international
"Croatia deserved that win, but Trippier’s free kick was world class.",youtube,,international
Mario Manduzkictk karma against pickford,youtube,,international
Kurvini Hrvatski sinovi.,youtube,,international
Mozda ovo,youtube,,international
"Mandzukic’s 🍒 at <a href=""https://www.youtube.com/watch?v=gi_2GELMwfY&amp;t=1m33s"">1:33</a>…",youtube,,international
"England was so close to going to their first World Cup final since 1966: Even though they lost in 2018, they still have a chance in 2026.",youtube,,international
English Tabloids all whole World: Ez WIN England....GO HOME ENGLAND YE YE...GOOO HOME ENGLAND YE YE,youtube,,international
Exactly 5 years ago what a day that was all of Croatia was on fire that day we have celebrate all night long,youtube,,international
It&#39;s funny how Harry Maguire is always involved in the goals that gets England knocked out of the world cup. He lost Mandzukic for the winning goal just as he did Giroud for France&#39;s winning goal in the last world cup. Awful player!,youtube,,international
Perisic is a legend hero,youtube,,international
I still remember this match 5 years ago and even though Mandzukic scored a own goal in the final he is still a legend by the goal he scored in the semi-final,youtube,,international
England are hurt including myself 😂,youtube,,international
"even after 4 years, a chill down the spine when Kane misses the dead chance. and then a hysteria after Mandzukic&#39;s winner...<br>man, that was a generation! <br>and now Spain in the League Nations final game....",youtube,,international
Legendary match😢,youtube,,international
Harrykane lukaku &amp; higuain are 3 bots,youtube,,international
Kane ghosting in a big game. It’s what he does,youtube,,international
England is so embarrassing,youtube,,international
"If you take a close look at croatia&#39;s flag, you can see the three lions!",youtube,,international
I like the goal of Trippier,youtube,,international
Croatia and modric❤,youtube,,international
Often come back here to remember how poor Harry Kane is.,youtube,,international
I Love England,youtube,,international
croatia❤,youtube,,international
Should&#39;ve been 2-0 if Kane passed the ball,youtube,,international
Harry Kane opportunity would have made it 2 - 0,youtube,,international
England is best,youtube,,international
"This was the biggest jinx in football, maybe even sporting history",youtube,,international
"<a href=""https://www.youtube.com/watch?v=gi_2GELMwfY&amp;t=1m37s"">1:37</a>",youtube,,international
"Ovo uvikk moram pogledat i srcee ko kucaa, neopisivooooo i  opet te suzee, hvalaa vatrenii ,volim Tee Hrvatska moja 🇭🇷🇭🇷🇭🇷🇭🇷❤❤❤❤❤",youtube,,international
super mario za finale,youtube,,international
🎶🇭🇷 We are the champions my friend....and we&#39;ll keep a fighting till the end.....we are the champions....no time 4 losers...coz we are the champions....,youtube,,international
Croatia. LET&#39;S GOOOOOOOOOOOOOO,youtube,,international
England have the best frrekick takers🤯,youtube,,international
Neopisivooooo 🇭🇷🇭🇷🇭🇷🇭🇷❤❤❤❤❤,youtube,,international
Kya din the,youtube,,international
Croatia is surprise world cup 2018,youtube,,international
Perú vs Japón 🇵🇪🇯🇵 3-1<br>Fracina vs Uruguay 🇲🇫🇺🇾 2-0,youtube,,international
"Kane has the spurs DNA, a perfect bottler",youtube,,international
💕⚽🤗🤗🤗,youtube,,international
"<a href=""https://www.youtube.com/watch?v=gi_2GELMwfY&amp;t=1m38s"">1:38</a> Lazy defense by the England defender down low",youtube,,international
Bravo,youtube,,international
"<a href=""https://www.youtube.com/watch?v=gi_2GELMwfY&amp;t=0m40s"">0:40</a> ffs harry",youtube,,international
"<a href=""https://www.youtube.com/watch?v=gi_2GELMwfY&amp;t=0m22s"">0:22</a> this, this moment right here was when life peaked",youtube,,international
Croatia is dark horse,youtube,,international
🇭🇷🇭🇷🇭🇷🇭🇷💪💪💪💪,youtube,,international
"If we consider only world cups from 1998, before Croatia as a team did not exist, Croatia is the seventh ranked country in the World Cup. Above Netherlands. And England is non existant, at best at the level of Morrocco. England is not anymore an important soccer nation. The last 25 years they don&#39;t exist anymore. They are equal with Morroco or Turkey, at best.",youtube,,international
Perisic prime,youtube,,international
Modric is op,youtube,,international
Modoric👍👍👍👍👍,youtube,,international
2nd place and 3rd place all back to back. the Balkans love Croatia,youtube,,international
History repeated in world cup 2022. But this time Argentina!,youtube,,international
Watched this working in Ghana summer of 2018 in sports bar. Time flies,youtube,,international
Mandzukic was that guy Fr fr,youtube,,international
Well done harry kane you cost us again in another world cup you fuxkin bottle job 😂😂😂😂😂,youtube,,international
In my opinion was this the best world cup,youtube,,international
"<a href=""https://www.youtube.com/watch?v=gi_2GELMwfY&amp;t=0m24s"">0:24</a>",youtube,,international
