comment,source,label
"#Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",kaggle,1
"Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life",kaggle,1
baby monkey bathtime This is soooo ADORABLE!,kaggle,0
"I ain't shit ."" Damn Skippy lol",kaggle,1
"u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b",kaggle,1
"ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",kaggle,1
The facts on tattoos...tattoo he's a pussy with not tattooing them nipples,kaggle,1
Get worshiping bitch! woof woof,kaggle,1
Wow. I'm lost. Are those buttcheek piercings? yeah she's a hoe,kaggle,1
"Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",kaggle,1
"faggot read my tweets after dat k"" it wasn't even funny lol",kaggle,1
This bitch was so ungrateful fr ..... LULWHORE,kaggle,1
"I been kidnapped yo bitch""",kaggle,1
"alsarabsss"" hes a beaner smh you can tell hes a mexican",kaggle,1
"happy birthday nigs"" Thanks yo",kaggle,1
when ur teacher tells u that u have homework this bitch need to go!!!,kaggle,1
"What would y'all lil ugly bald headed bitches do if they stop making make-up weave?""",kaggle,1
"Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",kaggle,1
"Going back to school sucks more dick than the hoes who attend it.""",kaggle,1
On my way to fuck yo bitch me as a 9 year old,kaggle,1
"how come you never bring me food"" i dont have a car retard",kaggle,1
"If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",kaggle,1
"How bout them Cowboys!!!!"" Shutup pussy",kaggle,1
"girl you know I was spitting that G shit to you you was going lbvs""bitch plz",kaggle,1
"Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",kaggle,1
"Harlem shake is just an excuse to go full retard for 30 seconds.""",kaggle,1
"having one loyal female is wayyyyy better than having hoes , idc",kaggle,1
"Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",kaggle,1
"What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",kaggle,1
im the bitch okay nudes pat wow,kaggle,1
"you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway",kaggle,1
"The fuck be wrong with these bitches?"" Nobody knows",kaggle,1
"Yall shut up:p"" make me bitch",kaggle,1
"I hate a ""I'm pregnant"" type of bitch.""",kaggle,1
"Got bitches in the DM but I don't ever read'em"" which is y your top 3",kaggle,1
"Baseball season for the win. #Yankees"" This is where the love started",kaggle,0
"Little stupid as bitch I don't fuck with yoooooouuuu..""",kaggle,1
"she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",kaggle,1
"I'm an early bird and I'm a night owl, so I'm wise and have worms.""",kaggle,0
"Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",kaggle,0
Pit Bulls Photographed As Lovely Fairy Tale Creatures *are* fairy tale creatures.,kaggle,0
"Aw."" ...fag, don't tweet ""aw"" to me lol",kaggle,1
"As long as the Lakers trash from now on, I could careless. And that's real."". CC: hahaha",kaggle,0
"I didn't say anything tho"" kiss me then faggot",kaggle,1
"this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut",kaggle,0
"I could go for a fat ass bitch on my lap"" same",kaggle,1
17 missed calls!!!! yo P.O bitch twitter finna be screamn #FreeMoneyMelle,kaggle,1
"Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao",kaggle,1
3 | Amo los pies fuck yeah,kaggle,1
These hoes be thinking Meat won't slap they ass ainna bruh,kaggle,1
Yall bitches wit no edges be doing the most talking,kaggle,1
"Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",kaggle,1
"I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",kaggle,1
"If she kiss u with her eyes open watch that bitch!""lmfao",kaggle,1
You a woulda coulda shoulda ass hoe,kaggle,1
Happy Bday Bitch Ass Nigga that bitch roll up!,kaggle,1
"nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",kaggle,1
"Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in outta jail dumb bitches with mad kids fuckin em.""",kaggle,1
This isn't ghetto.....it's smart I'm doing this idc,kaggle,0
"I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",kaggle,1
"Being single isn't an excuse to be a hoe.""",kaggle,1
"White boy power bitch"" black power bitch",kaggle,1
"Lets get drunk, get blowed, spit shit spark blunts fuck hoes!"" Bro white dudes have no chill.",kaggle,1
"bitch where u been"" Around the world and back. Where you been?",kaggle,1
if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off *by *,kaggle,1
"#oomf is soooo cute. But he probably has hoes on him a lot.""",kaggle,1
In every cartoon theirs alway a saving these hoes lmao. lmao damn captain SaveAHoe,kaggle,1
Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking hot sox and legs,kaggle,0
I wish I was a bitch like my brother keezy ooooow I bet you do,kaggle,1
"If you dressed up as a cat for Halloween you are basic."" ...or a pussy",kaggle,1
"stop being scared to choke her during sex u bitch ass niggas. She'll like it."". Says the guy who hits women out of bed. FOH",kaggle,1
"ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",kaggle,1
"Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",kaggle,1
"You're not a man if you refer to every girl as a bitch""",kaggle,1
"Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",kaggle,1
"Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",kaggle,0
"io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",kaggle,1
"naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",kaggle,1
"Ol dirty foot ass bitches.."" this was too funny to me.",kaggle,1
that's where I get my yellow flags for being amazing HELL YEAH NIGGY,kaggle,1
"Don't got time for bitches to be actin iffy.""",kaggle,1
"#UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",kaggle,0
These hoes ain't loyal ; no they ain't & wonder why nobody decent wants them,kaggle,1
"Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",kaggle,1
"Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",kaggle,1
"You love these hoes more then money wats wrong these niggas""",kaggle,1
"A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",kaggle,1
"Easy cum, easy hoe"" That's a fact !",kaggle,1
Charlie Sheen is too real major fucking respect for Charlie Sheen.,kaggle,1
Wish I had a bae got all the hoes tho,kaggle,1
"Fuck twerking bitch can you cook ?""",kaggle,1
"bitch wtf""",kaggle,1
"Lmao fucking snake bitches"" em",kaggle,1
Big booty hoes everywhere sheesh damn,kaggle,1
"Stay tuned to for an update on the report that 1B will be out 8-10 weeks"" #bum",kaggle,0
"""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut yes lmfao""@soccerboy_04",kaggle,0
"Oregon chokes every year get off the field trash ass program"" RFT",kaggle,1
"Def not cowboy lol Terrell Owens was the best Eagle Cowboy ever"" ..dude cried like a bitch on tv, over Romo",kaggle,1
LMFAOOOO I HATE BLACK PEOPLE This is why there's black people and niggers,kaggle,1
a pissed lad past out. I would lick his dirty soles while he slept.,kaggle,0
love frat boy w/ soft long soles,kaggle,0
sexy lad with hot soles and arches.,kaggle,0
"nah fam I gotta cheat with the hoes"" depends on the female i feel",kaggle,1
"This new twitter is confusing the shit out of me."" Go back to south america bitch",kaggle,1
"Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",kaggle,1
but what if he actually does choose the ugly bitch over you? ass must be fat!,kaggle,1
bitch couldn't kill my vibe if ya tried. dis why i love miley :*,kaggle,1
"I'm tired of bitches saying I look mean.. nigga you big af, wear tight shirts, and grim everybody.",kaggle,1
"""Stay beautiful you bitch""""",kaggle,1
"Money getting taller and bitches getting blurry""",kaggle,1
"""At least I'm not a nigger""",kaggle,1
"People always asking me what I'm mixed with."" She a bad asian bitch lol",kaggle,1
"Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",kaggle,1
"I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!",kaggle,1
We don't love these hoes,kaggle,1
"If yo girl cant have homeboys you a ol weak bitch ass nigga!""",kaggle,1
"I think worst advice I gave you was don't be a pussy and speed up"" lol""",kaggle,1
"Quote this tweet with your favorite animal.""pussy",kaggle,1
"I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!""",kaggle,1
Andrewbryant: Poff has double vision after 2 beers Poff: ... Double pussy smh,kaggle,1
"61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.""",kaggle,0
"These bitches don't care they just play that role.""",kaggle,1
"Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes ....dudes a fag",kaggle,1
"inna di ghetto!!!"" You alone lmaoo",kaggle,0
"bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",kaggle,1
"Fat hoes get chose"" lol",kaggle,1
"#hoesaintloyal"" well they're hoes,no one expects them to be loyal",kaggle,1
"Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo",kaggle,1
"Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you",kaggle,1
"""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot",kaggle,1
"If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!",kaggle,1
These catfish hoes thinkin they slick.. But niggas catching on,kaggle,1
"Can't worry about a bitch that ain't worried bout me"" #real",kaggle,1
"Side hoes are for insecure niggas that can't handle a real one.""",kaggle,1
"@bluprint_4: Lmao! This bitch come scooting in the tent like she about to fuck some shit up!""",kaggle,1
My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers,kaggle,1
"Dese hoes be LYIN to all of us nigga""",kaggle,1
oh yeah fuck that bitch,kaggle,1
"Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash",kaggle,0
USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. he's a bitch,kaggle,0
"Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy",kaggle,1
I ain't sharing no bitch if you mines you mines,kaggle,1
"money only impress the simple broke bitches""",kaggle,1
"#Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht",kaggle,1
"@KingCuh tuku ho idk blah blah blah""",kaggle,0
"These hoes is crazy""",kaggle,1
"You ain't ever gonna be a slice bitch."" Kevin hart. (:",kaggle,1
"Oomf so fuckin fine tho dam"" her, don't be no bitch.",kaggle,1
"I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags",kaggle,1
Hickies in between her thighs right by her pussy Its only right,kaggle,1
"Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass.",kaggle,1
"faggot bitch""",kaggle,1
"yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up work 2-5",kaggle,1
this scally lad would get it,kaggle,0
#GerrysHalloweenParty Halloween was yesterday stupid nigger,kaggle,1
"Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead*",kaggle,1
"BOBBY BITCH-by be getting me live as fuck"" hell yea i play that hoe before my workout",kaggle,1
"I can ride your bitch with no handle bars""",kaggle,1
"And if you ain't a hoe get up out my traphoussseeeee""",kaggle,1
"These harbor bitches are all ""Party Bus hoes"""" Lol all?",kaggle,1
"pussy"" love it",kaggle,1
"Ultraviolence video, its coming you little bitch! #MTVHottest Lana Del Rey   bitchy promo",kaggle,1
On my way to fuck your bitch KITTYCOPTER,kaggle,1
"A smuggler explains how he helped fighters along the ""Jihadi Highway"":",kaggle,0
whys this bitch boosting herself size isn't exactly the most healthy tho,kaggle,1
"Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco",kaggle,1
"I'm making marack my girlfriend ."" aye b you pullin hoes just like o taught you",kaggle,1
"Bruno fag boy"" you love me.",kaggle,1
"Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP",kaggle,0
Happy birthday bitch nigga Thanks pal,kaggle,1
"Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday",kaggle,1
"cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca",kaggle,1
"I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake..",kaggle,1
"My pussy still fresh"" something stank girls say.",kaggle,1
Ass slapping is one the greatest things. Haha. I slapped a girl on the ass. . She got mad I aint get pussy for a week,kaggle,1
"Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like black&milds out here",kaggle,1
There's a lane some bitches need to stay in the left n get right the fuck outta our face,kaggle,1
I hate when boys deny that they have bitches smh,kaggle,1
"Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!",kaggle,1
"Im a boss ass bitch"" ...that needs to sit in a corner",kaggle,1
"He's a hoe , I can't""",kaggle,1
Me And Paul Thinkin Bout Gettin Rentals For Da Weekend shit bitches betta stay out da streets,kaggle,1
bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story.,kaggle,1
"why do my friends hate me"" because you a ratchet hoe..",kaggle,1
"No love for these fuck niggas"" hoes*",kaggle,1
Hot meat sexy as fuck scally lad. I would love to meet him and his trainers.,kaggle,1
Sniff perved up scally lad. fuck yeah.,kaggle,1
"These bitches love Sosa""",kaggle,1
"I legit watched it for about 30 or 40 seconds DID I WTF"" prob cause were retarded smh",kaggle,1
"What should I name my cat, ideas?"" Mr pussy",kaggle,1
woof woof. Sexy thug boy scally.,kaggle,1
u see the damn phone ringing? when you married bitches makes demands!!!! You haven't called me,kaggle,1
"Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe",kaggle,1
"is bored supposed to be cute, you faggot?"" Sometimes",kaggle,1
One mans trash is another mans treasure,kaggle,0
"I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype",kaggle,1
"lassen cc , the coach wants me"" i feel it youll get more my nig no doubt",kaggle,1
"In D.C., we call them rollers, in Chiraq we call them thots."" All across America they have been known as a hoe.",kaggle,1
"I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie",kaggle,1
hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone ON. MY. SOUL!,kaggle,1
"yall both gimped up??"" Ain't tht a bitch huh lol",kaggle,1
"oh my god I love Victoria Mitchell"" all my bitches love me",kaggle,1
"That long distance shit wack I knew the bitch was cheating""- uh oh",kaggle,1
"they BAN dat pussy for life he gotta pay 2.5 millon dollar fine""",kaggle,1
"Roses are red and violets are blue and niggers are black, you know that's true.""",kaggle,1
"Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals""",kaggle,0
"But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded",kaggle,1
a video an entire media will likely mock. i am such a crybaby,kaggle,0
"@WestYourMajesty I'm not even shy stfu"" kikis mom: Hi angelique  Angelique: Smiles *Dips cracker in soup*",kaggle,1
"Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh.""",kaggle,1
Karma is a bitch #Damn #GodProtectsHisAngels tea*,kaggle,1
Fuckin hot gym pussy fuck yeah,kaggle,1
Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport,kaggle,0
"You can call me Fireman cause I turn the hoes on.""",kaggle,1
"I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God",kaggle,1
"Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that",kaggle,1
"And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?",kaggle,1
tweety bird tho,kaggle,0
my pussy sweet like watermelon,kaggle,1
When twitter rappers dm me their trash links,kaggle,0
"loud bitches annoy me""",kaggle,1
"Eventually every bitch turns into that hoe."" # Truuu",kaggle,1
"You bitches be pretending to be TF crazy.."" You ain't never lied...",kaggle,1
"k bye hoe"" um bye ..",kaggle,1
"Jackies a retard #blondeproblems"" At least I can make a grilled cheese!",kaggle,1
"ima keep on giving these pussy ass niggas ah reason to hate !""",kaggle,1
Photo: he is in sole heaven,kaggle,0
"I'll break that lil bitch neck and won't even feel sorry about it"" Savage",kaggle,1
This is so fucking hot!! #scally #sneakersex #sockfetish #sniff #trainersex love me some kinky scallies,kaggle,1
"Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too.",kaggle,1
"I can turn yo bitch into a eaterrrrrrrrr""",kaggle,1
"I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP"" we finna come to Chiraq and shoot sumn",kaggle,1
Now u got what u want bitch ! Enjoy it now this is a crazy party I would love to attend.,kaggle,1
"colored contacts in your eyes? blinders on mine. cause i can't see you at all."" Lmao",kaggle,0
"I'm rea start smacking bitches period !"" Bluffin at its best",kaggle,1
"Lifes a bitch, and then you die  Thats why we get high, cause you neva know when you're gonna go"" my sister is perfect (:",kaggle,1
"I'm feeling pretty fuckin ghetto"" Smh",kaggle,1
H.G.Wells and Charlie Chaplin #History #Photography,kaggle,0
"All I see is Bruno's bitch ass on my twitter now. wtf"" Bruno's all that she sees (Drake voice)",kaggle,1
"I'm about to cool faggot chill"" tf is cool nigga",kaggle,1
"I'm so sure bitch"" frfr tf",kaggle,1
"Twitter is not a source of news broadcast you fucking retards"" it is when nbc, abc, cnn, Fox, etc are all keeping quiet.",kaggle,1
"Grudges are for weirdos""and bitches",kaggle,1
"I told Mariam to but cigarettes for her birthday""  You also called me trash rn",kaggle,0
"brownies tonight"" what kind?!?!",kaggle,0
"No text back? I don't give a fuck, I'll text another bitch"" damn someone is hurt lol",kaggle,1
Ummmmmm okay you got hoes from left to right do yah thang!,kaggle,1
"using y=mx+b to find the slope of that ass""",kaggle,1
Fit lads! Nice gear! these scally lads n trainers would get it,kaggle,0
Hell yeah bro! fuck yeah sexy scally lad in hot gear,kaggle,1
Helping out a mate!! I love scally play. Fuck yeah,kaggle,1
Lads being Lads! fuck yeah. I love scally lad action. Hot trainers too.,kaggle,1
Next year bitches is gonna be like you gotta promise you won't expose me,kaggle,1
"So hot!! Lick it, bitch fuck yeah. Eat that trainer u dirty fucker",kaggle,1
"Y'all think celebrity pussy different from the locals? yeah Meghan goods is""",kaggle,1
"""I saw an ajumma walk out in the beginning saying, 'Wow, this is so trash that I can't even listen to it..'"" lmaoo",kaggle,0
Need these sox fuck yeah. I love a kinky scally lad w/ rank sox and sneaks,kaggle,1
"I don't ever expose females like that.. That's childish.."" bitch nigga shiiii.....",kaggle,1
Thick raw fuck Damn his man pussy is getting a workout.,kaggle,1
"RAWR!! ""My"" sexy French scally. I love him! #frenchscally sexy scally woof woof",kaggle,0
"if one of you bitches want some of my burrito u can catch me at potosino"" huh? Haha",kaggle,1
"Hardcore way to eat Mac and cheese 1. Boil water  2. Snort cheese powder 3. Drink boiling water  4. Fuck bitches""",kaggle,1
"#YoureNotMyType if my fade is perpetually fresher than yours."" That's a real ass bitch rite there",kaggle,1
annoying bitch that I love JUDYANN'S SO PRETTY!!!!!,kaggle,1
bitch got on some huggies,kaggle,1
"does he look like a bitch?""",kaggle,1
"can't stand a ""I don't know what I want"" ass nigga bitch*",kaggle,1
"These newly gay bitches don't kno how shit works""",kaggle,1
"When a bitch don't want a real job they just become strippers lol"" lol.",kaggle,1
"Awww Meat Meat In His Feelins""i ainn n my feelings bitch",kaggle,1
"I Want Snake Bites , MY Industrial Piercin A Tattoo""Dem hoe accessories dea",kaggle,1
"these hoes ain't loyal.""",kaggle,1
"YASSSSSS, ORDERED CHINESE bitch you just ate tacos you fat fuck",kaggle,1
I made that bitch lunch. Bitches love lunch.,kaggle,1
"""A NO BRAINER"" But as soon as this bitch gets rich in political power, her views will change! POLITICAL WHORES!",kaggle,1
"""A pussy a day keeps the devil away""",kaggle,1
"""Ain't that about a bitch""... What does that mean?",kaggle,1
"""All these bitches want a baby, I don't want no children.""",kaggle,1
"""And bitch you must be lost""",kaggle,1
"""Baby I like being on your left side"" no bitch you can't be there Cuz the street on that side and Twitter said I ain't real if you do",kaggle,1
"""Bae"" sounds like such a ghetto word. Use something else",kaggle,0
"""Batter the wee cunt Jewis"" y cos he fucked my ex? Emma isnt battering the girls I've nailed?Ive moved on,stop being a pussy n do it urself.",kaggle,1
"""Bleed out hoe!!!"" -Alexa",kaggle,1
"""Boolin' in the bando wit a few bitches""",kaggle,1
"""Brownies for my brownie"" I love this movie.",kaggle,0
"""But I need a bad bitch that's hotter than me"" might be the realist shit PartyNextDoor ever said. That's how I be feelin everyday",kaggle,1
"""By the way we do punch bitches.""",kaggle,1
"""Chinese Maverick: We were communicating Comrade , u know giving the imperialist Yanks the Birdie""",kaggle,0
"""Do you believe these hoes are not in fact loyal?"" ""I disagree with that, I do believe they are in fact the loyalest bunch,these hoes""",kaggle,1
"""Don't know no ugly bitches! Don't know no broke",kaggle,1
"""Don't make me make you fall in live with a nigga like meee..."" The birds 1&2 are my favorite songs by Weeknd",kaggle,1
"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch.""",kaggle,1
"""Don't you ever give my pussy away. You keep it tight, alright?""",kaggle,1
"""Dumb bitches do dumb things""",kaggle,1
"""Eat the pussy like a real nigga hungry""",kaggle,1
"""Eff it. Let's go after the cripple.""",kaggle,1
"""Everything look better with a bitch next to it""",kaggle,1
"""Facto Who cares if you a hoe when your ass looks like this?",kaggle,1
"""For every bad bitch there is a nigga tired of fucking her""",kaggle,1
"""Foreign chick, no lie.. Man that bitch Beautiful""",kaggle,1
"""Fresh nigga so you kno I need a clean bitch... Who kno I'm working cuz I wanna see my team rich.""",kaggle,1
"""Fuck 5/0 I make my own rules. Suck my dragon balls bitch call me goku""",kaggle,1
"""Generate ASCII boxes with NodeJS"" all I see is the ability to bring flappy-bird in node via ASCII tubes and bird ^_^",kaggle,0
"""Get me that shit bitch you is fine bear""",kaggle,1
"""Get your ass back to Detroit ya fuckin' wigger!""",kaggle,1
"""Girls that I dated, its okay I ain't mad yo, unless you stabbed me in the heart, no love hoe""",kaggle,1
"""HOW DO YOU KNOW MY TWITTER PASSWORD"" bitch please",kaggle,1
"""Have you seen my shows? Have you seen my hoes? If I wasn't hot would they be so thick?""",kaggle,1
"""He a bitch for hitting that hoe""",kaggle,1
"""He married to a white woman... lucky sum-bitch"" - Uncle Ruckus",kaggle,1
"""He wanna be my nigga, but I'm just trinna be his savings account omg imma funny ass bitch man, but that's Real Shit",kaggle,1
"""Her great grandmas a hoe,her grandmas a hoe,her moms and a hoe, and she's a hoe! It's a long line of hoes!"" -Grandpa Carl everyone",kaggle,1
"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays",kaggle,1
"""Hey pussy you still there?""",kaggle,1
"""How about we draft all those gung-ho folks and send them to Afghanistan or other war zones so they can show their...",kaggle,0
"""How hotter than is it?"" ""A bitch.""",kaggle,1
"""How u talking to hoes bout bro n em.. Why you talking to hoes bout bro n em""",kaggle,1
"""How you doing, crazy bitch?"" is hilarious!",kaggle,1
"""I am a thrill billy..with a hillbilly heart."" HAHAHAHAHA Jesus Murphy!",kaggle,0
"""I call him my bitch""",kaggle,1
"""I can't handle no liquor... But these bitches can't handle meeedd"" - Chief Sosa",kaggle,1
"""I don't chase after dudes... I chase after bitches."" - Edgar Bautista",kaggle,1
"""I don't love these hoes, baby It's me and you forever""",kaggle,1
"""I dont have hoes""",kaggle,1
"""I found a new way to chug you have to open your mouth alot"" #shitallysays",kaggle,0
"""I fucking hate that bitch so much I wanna smack her in the face then tongue kiss her""",kaggle,1
